name,meaning,example,sentence,exercise
categorize,categorize meaning,categorize examples,categorize sentences,categorize exercises
category,category meaning,category examples,category sentences,category exercises
cater for,cater for meaning,cater for examples,cater for sentences,cater for exercises
cater to,cater to meaning,cater to examples,cater to sentences,cater to exercises
catering,catering meaning,catering examples,catering sentences,catering exercises
caterwaul,caterwaul meaning,caterwaul examples,caterwaul sentences,caterwaul exercises
cathedral,cathedral meaning,cathedral examples,cathedral sentences,cathedral exercises
catherine,catherine meaning,catherine examples,catherine sentences,catherine exercises
catholic,catholic meaning,catholic examples,catholic sentences,catholic exercises
cats,cats meaning,cats examples,cats sentences,cats exercises
cattle,cattle meaning,cattle examples,cattle sentences,cattle exercises
caught,caught meaning,caught examples,caught sentences,caught exercises
cause,cause meaning,cause examples,cause sentences,cause exercises
caused,caused meaning,caused examples,caused sentences,caused exercises
causes,causes meaning,causes examples,causes sentences,causes exercises
causing,causing meaning,causing examples,causing sentences,causing exercises
caution,caution meaning,caution examples,caution sentences,caution exercises
cautiously,cautiously meaning,cautiously examples,cautiously sentences,cautiously exercises
cave,cave meaning,cave examples,cave sentences,cave exercises
cave in,cave in meaning,cave in examples,cave in sentences,cave in exercises
cavort,cavort meaning,cavort examples,cavort sentences,cavort exercises
caw,caw meaning,caw examples,caw sentences,caw exercises
cayman,cayman meaning,cayman examples,cayman sentences,cayman exercises
cb,cb meaning,cb examples,cb sentences,cb exercises
cbs,cbs meaning,cbs examples,cbs sentences,cbs exercises
cc,cc meaning,cc examples,cc sentences,cc exercises
ccd,ccd meaning,ccd examples,ccd sentences,ccd exercises
cd,cd meaning,cd examples,cd sentences,cd exercises
cdna,cdna meaning,cdna examples,cdna sentences,cdna exercises
cds,cds meaning,cds examples,cds sentences,cds exercises
cdt,cdt meaning,cdt examples,cdt sentences,cdt exercises
ce,ce meaning,ce examples,ce sentences,ce exercises
cease,cease meaning,cease examples,cease sentences,cease exercises
cedar,cedar meaning,cedar examples,cedar sentences,cedar exercises
ceiling,ceiling meaning,ceiling examples,ceiling sentences,ceiling exercises
celebrate,celebrate meaning,celebrate examples,celebrate sentences,celebrate exercises
celebration,celebration meaning,celebration examples,celebration sentences,celebration exercises
celebrities,celebrities meaning,celebrities examples,celebrities sentences,celebrities exercises
celebrity,celebrity meaning,celebrity examples,celebrity sentences,celebrity exercises
celebs,celebs meaning,celebs examples,celebs sentences,celebs exercises
celery,celery meaning,celery examples,celery sentences,celery exercises
cell,cell meaning,cell examples,cell sentences,cell exercises
cell phone,cell phone meaning,cell phone examples,cell phone sentences,cell phone exercises
cellar,cellar meaning,cellar examples,cellar sentences,cellar exercises
cells,cells meaning,cells examples,cells sentences,cells exercises
cellular,cellular meaning,cellular examples,cellular sentences,cellular exercises
celtic,celtic meaning,celtic examples,celtic sentences,celtic exercises
cement,cement meaning,cement examples,cement sentences,cement exercises
cemetery,cemetery meaning,cemetery examples,cemetery sentences,cemetery exercises
census,census meaning,census examples,census sentences,census exercises
cent,cent meaning,cent examples,cent sentences,cent exercises
center,center meaning,center examples,center sentences,center exercises
centered,centered meaning,centered examples,centered sentences,centered exercises
centers,centers meaning,centers examples,centers sentences,centers exercises
centimetre,centimetre meaning,centimetre examples,centimetre sentences,centimetre exercises
central,central meaning,central examples,central sentences,central exercises
centre,centre meaning,centre examples,centre sentences,centre exercises
centre around,centre around meaning,centre around examples,centre around sentences,centre around exercises
centres,centres meaning,centres examples,centres sentences,centres exercises
cents,cents meaning,cents examples,cents sentences,cents exercises
centuries,centuries meaning,centuries examples,centuries sentences,centuries exercises
century,century meaning,century examples,century sentences,century exercises
ceo,ceo meaning,ceo examples,ceo sentences,ceo exercises
ceramic,ceramic meaning,ceramic examples,ceramic sentences,ceramic exercises
ceremony,ceremony meaning,ceremony examples,ceremony sentences,ceremony exercises
certain,certain meaning,certain examples,certain sentences,certain exercises
certainly,certainly meaning,certainly examples,certainly sentences,certainly exercises
certificate,certificate meaning,certificate examples,certificate sentences,certificate exercises
certificates,certificates meaning,certificates examples,certificates sentences,certificates exercises
certification,certification meaning,certification examples,certification sentences,certification exercises
certified,certified meaning,certified examples,certified sentences,certified exercises
certify,certify meaning,certify examples,certify sentences,certify exercises
cest,cest meaning,cest examples,cest sentences,cest exercises
cet,cet meaning,cet examples,cet sentences,cet exercises
cf,cf meaning,cf examples,cf sentences,cf exercises
cfr,cfr meaning,cfr examples,cfr sentences,cfr exercises
cg,cg meaning,cg examples,cg sentences,cg exercises
cgi,cgi meaning,cgi examples,cgi sentences,cgi exercises
ch,ch meaning,ch examples,ch sentences,ch exercises
chad,chad meaning,chad examples,chad sentences,chad exercises
chain,chain meaning,chain examples,chain sentences,chain exercises
chains,chains meaning,chains examples,chains sentences,chains exercises
chair,chair meaning,chair examples,chair sentences,chair exercises
chairman,chairman meaning,chairman examples,chairman sentences,chairman exercises
chairs,chairs meaning,chairs examples,chairs sentences,chairs exercises
chairwoman,chairwoman meaning,chairwoman examples,chairwoman sentences,chairwoman exercises
chalk,chalk meaning,chalk examples,chalk sentences,chalk exercises
chalk out,chalk out meaning,chalk out examples,chalk out sentences,chalk out exercises
chalk up,chalk up meaning,chalk up examples,chalk up sentences,chalk up exercises
chalk up to,chalk up to meaning,chalk up to examples,chalk up to sentences,chalk up to exercises
challenge,challenge meaning,challenge examples,challenge sentences,challenge exercises
challenged,challenged meaning,challenged examples,challenged sentences,challenged exercises
challenges,challenges meaning,challenges examples,challenges sentences,challenges exercises
challenging,challenging meaning,challenging examples,challenging sentences,challenging exercises
chamber,chamber meaning,chamber examples,chamber sentences,chamber exercises
chambers,chambers meaning,chambers examples,chambers sentences,chambers exercises
champagne,champagne meaning,champagne examples,champagne sentences,champagne exercises
champion,champion meaning,champion examples,champion sentences,champion exercises
champions,champions meaning,champions examples,champions sentences,champions exercises
championship,championship meaning,championship examples,championship sentences,championship exercises
championships,championships meaning,championships examples,championships sentences,championships exercises
chan,chan meaning,chan examples,chan sentences,chan exercises
chance,chance meaning,chance examples,chance sentences,chance exercises
chance on,chance on meaning,chance on examples,chance on sentences,chance on exercises
chance upon,chance upon meaning,chance upon examples,chance upon sentences,chance upon exercises
chancellor,chancellor meaning,chancellor examples,chancellor sentences,chancellor exercises
chances,chances meaning,chances examples,chances sentences,chances exercises
change,change meaning,change examples,change sentences,change exercises
change around,change around meaning,change around examples,change around sentences,change around exercises
change back,change back meaning,change back examples,change back sentences,change back exercises
